,month,Thickness
181,1994-02,1.9305
182,1994-03,2.055
183,1994-04,2.2237999999999998
184,1994-05,2.361741935483871
185,1994-06,2.3478
186,1994-07,2.0473548387096776
187,1994-08,1.9046774193548388
188,1994-09,1.8796
189,1994-10,1.7571290322580644
190,1994-11,1.6898333333333333
191,1994-12,1.7106129032258066
192,1995-01,1.808064516129032
193,1995-02,1.8955714285714287
194,1995-03,2.027064516129032
195,1995-04,2.1420666666666666
196,1995-05,2.274774193548387
197,1995-06,2.195866666666667
198,1995-07,1.8794193548387097
199,1995-08,1.7159032258064515
200,1995-09,1.7068333333333332
201,1995-10,1.5513225806451614
202,1995-11,1.4519
203,1995-12,1.5102903225806452
204,1996-01,1.6746774193548386
205,1996-02,1.8047857142857142
206,1996-03,1.9658064516129032
207,1996-04,2.1402
208,1996-05,2.2593548387096773
209,1996-06,2.186166666666667
210,1996-07,1.9244193548387096
211,1996-08,1.8040967741935483
212,1996-09,1.7879333333333334
213,1996-10,1.7675806451612903
214,1996-11,1.7598666666666667
215,1996-12,1.6881290322580644
216,1997-01,1.7836129032258066
217,1997-02,1.8930357142857144
218,1997-03,2.0415483870967743
219,1997-04,2.2041
220,1997-05,2.327677419354839
221,1997-06,2.2411666666666665
222,1997-07,1.9826129032258064
223,1997-08,1.9081612903225806
224,1997-09,1.8781
225,1997-10,1.7463548387096774
226,1997-11,1.5934333333333335
227,1997-12,1.623709677419355
228,1998-01,1.743548387096774
229,1998-02,1.84625
230,1998-03,1.9873225806451613
231,1998-04,2.1403666666666665
232,1998-05,2.248290322580645
233,1998-06,2.2171000000000003
234,1998-07,1.898967741935484
235,1998-08,1.644741935483871
236,1998-09,1.5875666666666668
237,1998-10,1.5351935483870969
238,1998-11,1.5459999999999998
239,1998-12,1.5750645161290322
240,1999-01,1.690193548387097
241,1999-02,1.8287142857142857
242,1999-03,1.9498709677419355
243,1999-04,2.0626333333333333
244,1999-05,2.1649354838709676
245,1999-06,2.1591333333333336
246,1999-07,1.9051935483870968
247,1999-08,1.5773548387096776
248,1999-09,1.4866
249,1999-10,1.4276129032258065
250,1999-11,1.4754
251,1999-12,1.5236129032258063
252,2000-01,1.657709677419355
253,2000-02,1.7614285714285713
254,2000-03,1.8769354838709678
255,2000-04,2.0170333333333335
256,2000-05,2.1676129032258062
257,2000-06,2.0976
258,2000-07,1.7674193548387096
259,2000-08,1.5873225806451614
260,2000-09,1.576
261,2000-10,1.4990645161290324
262,2000-11,1.4863666666666666
263,2000-12,1.5164193548387097
264,2001-01,1.6349677419354838
265,2001-02,1.7607142857142857
266,2001-03,1.873193548387097
267,2001-04,2.0154666666666667
268,2001-05,2.112709677419355
269,2001-06,2.0997666666666666
270,2001-07,1.9078387096774194
271,2001-08,1.7366129032258064
272,2001-09,1.6817666666666669
273,2001-10,1.6233225806451612
274,2001-11,1.5384
275,2001-12,1.5651290322580644
276,2002-01,1.644225806451613
277,2002-02,1.7583214285714284
278,2002-03,1.8586774193548388
279,2002-04,2.0456666666666665
280,2002-05,2.1668387096774193
281,2002-06,2.0721333333333334
282,2002-07,1.775806451612903
283,2002-08,1.6428064516129033
284,2002-09,1.6368333333333331
285,2002-10,1.4803870967741937
286,2002-11,1.4451333333333334
287,2002-12,1.498258064516129
288,2003-01,1.6126451612903225
289,2003-02,1.7643214285714286
290,2003-03,1.8971935483870968
291,2003-04,2.0369333333333333
292,2003-05,2.116806451612903
293,2003-06,2.007
294,2003-07,1.7073870967741935
295,2003-08,1.5929354838709677
296,2003-09,1.6019666666666668
297,2003-10,1.4566451612903226
298,2003-11,1.3796333333333335
299,2003-12,1.398516129032258
300,2004-01,1.5295483870967743
301,2004-02,1.6568214285714284
302,2004-03,1.8161290322580643
303,2004-04,1.9814666666666667
304,2004-05,2.133967741935484
305,2004-06,2.0355
306,2004-07,1.7015806451612905
307,2004-08,1.539258064516129
308,2004-09,1.5661333333333334
309,2004-10,1.4624838709677421
310,2004-11,1.3902333333333334
311,2004-12,1.454
312,2005-01,1.6246451612903225
313,2005-02,1.74825
314,2005-03,1.873258064516129
315,2005-04,2.0038333333333336
316,2005-05,2.092741935483871
317,2005-06,1.9486666666666668
318,2005-07,1.7003870967741936
319,2005-08,1.5378709677419355
320,2005-09,1.4927666666666668
321,2005-10,1.3878064516129032
